 Lambda, WSJ Perplexity, HUB Perplexity, HUB WER
 0.1,767.5936067019651,783.3530345232078,0.08338892595063375
 0.2,615.7145847832663,628.0315765847214,0.08272181454302868
 0.30000000000000004,539.0027898432403,548.0318343543929,0.0780520346897932
 0.4,494.24233432983283,500.4299708585092,0.07605070046697798
 0.5,468.2684571456359,471.8104104002588,0.07671781187458306
 0.6,456.49843626523824,457.28918489345284,0.07271514342895263
 0.7,458.9728527800545,456.4645460654763,0.07605070046697798
 0.7999999999999999,481.8881608751893,474.5570568484951,0.07071380920613743
 0.8999999999999999,553.5792878153035,536.2454893074115,0.06604402935290193
 0.9999999999999999,Infinity,3966612.856423585,0.08338892595063375
